  -5.00000000      -6.00000000      -4.00000000       2.58476782    
  -4.00000000      -6.00000000      -4.00000000       2.92976522    
  -6.00000000      -5.00000000      -4.00000000       2.58476782    
  -6.00000000      -4.00000000      -4.00000000       2.92976522    
  -7.00000000      -2.00000000      -4.00000000       2.64133143    
  -7.00000000      -1.00000000      -4.00000000       2.73105669    
  -7.00000000       0.00000000      -4.00000000       2.76091313    
  -7.00000000       1.00000000      -4.00000000       2.73105669    
  -7.00000000       2.00000000      -4.00000000       2.64133143    
  -6.00000000       4.00000000      -4.00000000       2.92976499    
  -6.00000000       5.00000000      -4.00000000       2.58476782    
  -5.00000000       6.00000000      -4.00000000       2.58476782    
  -4.00000000       6.00000000      -4.00000000       2.92976522    
  -2.00000000       7.00000000      -4.00000000       2.64133167    
  -1.00000000       7.00000000      -4.00000000       2.73105669    
   0.00000000       7.00000000      -4.00000000       2.76091313    

  -3.00000000      -7.00000000      -3.00000000       2.72075915    
  -2.00000000      -7.00000000      -3.00000000       2.88452101    
  -1.00000000      -7.00000000      -3.00000000       2.98257422    
  -5.00000000      -6.00000000      -3.00000000       2.82252264    
  -6.00000000      -5.00000000      -3.00000000       2.82252264    
  -7.00000000      -3.00000000      -3.00000000       2.72075915    
  -7.00000000      -2.00000000      -3.00000000       2.88452101    
  -7.00000000      -1.00000000      -3.00000000       2.98257422    
  -7.00000000       1.00000000      -3.00000000       2.98257422    
  -7.00000000       2.00000000      -3.00000000       2.88452101    
  -7.00000000       3.00000000      -3.00000000       2.72075915    
  -6.00000000       5.00000000      -3.00000000       2.82252240    
  -5.00000000       6.00000000      -3.00000000       2.82252264    
  -3.00000000       7.00000000      -3.00000000       2.72075915    
  -2.00000000       7.00000000      -3.00000000       2.88452125    
  -1.00000000       7.00000000      -3.00000000       2.98257422    
  -4.00000000      -7.00000000      -2.00000000       2.64133143    
  -3.00000000      -7.00000000      -2.00000000       2.88452101    
  -6.00000000      -6.00000000      -2.00000000       2.51036549    
  -5.00000000      -6.00000000      -2.00000000       2.99229860    
  -6.00000000      -5.00000000      -2.00000000       2.99229860    
  -7.00000000      -4.00000000      -2.00000000       2.64133143    
  -7.00000000      -3.00000000      -2.00000000       2.88452101    
  -7.00000000       3.00000000      -2.00000000       2.88452101    
  -7.00000000       4.00000000      -2.00000000       2.64133143    
  -6.00000000       5.00000000      -2.00000000       2.99229860    
  -6.00000000       6.00000000      -2.00000000       2.51036549    
  -5.00000000       6.00000000      -2.00000000       2.99229860    
  -4.00000000       7.00000000      -2.00000000       2.64133167    
  -3.00000000       7.00000000      -2.00000000       2.88452125    
  -4.00000000      -7.00000000      -1.00000000       2.73105669    
  -3.00000000      -7.00000000      -1.00000000       2.98257422    
  -6.00000000      -6.00000000      -1.00000000       2.59557319    
  -7.00000000      -4.00000000      -1.00000000       2.73105669    
  -7.00000000      -3.00000000      -1.00000000       2.98257422    
  -7.00000000       3.00000000      -1.00000000       2.98257422    
  -7.00000000       4.00000000      -1.00000000       2.73105669    
  -6.00000000       6.00000000      -1.00000000       2.59557319    
  -4.00000000       7.00000000      -1.00000000       2.73105669    
  -3.00000000       7.00000000      -1.00000000       2.98257422    
  -4.00000000      -7.00000000       0.00000000       2.76091313    
  -6.00000000      -6.00000000       0.00000000       2.62392449    
  -7.00000000      -4.00000000       0.00000000       2.76091313    
  -7.00000000       4.00000000       0.00000000       2.76091313    
  -6.00000000       6.00000000       0.00000000       2.62392449    
  -4.00000000       7.00000000       0.00000000       2.76091313    
  -4.00000000      -7.00000000       1.00000000       2.73105669    
  -3.00000000      -7.00000000       1.00000000       2.98257422    
  -6.00000000      -6.00000000       1.00000000       2.59557319    
  -7.00000000      -4.00000000       1.00000000       2.73105669    
  -7.00000000      -3.00000000       1.00000000       2.98257422    
  -7.00000000       3.00000000       1.00000000       2.98257422    
  -7.00000000       4.00000000       1.00000000       2.73105669    
  -6.00000000       6.00000000       1.00000000       2.59557319    
  -4.00000000       7.00000000       1.00000000       2.73105669    
  -3.00000000       7.00000000       1.00000000       2.98257422    
  -4.00000000      -7.00000000       2.00000000       2.64133143    
  -3.00000000      -7.00000000       2.00000000       2.88452101    
  -6.00000000      -6.00000000       2.00000000       2.51036549    
  -5.00000000      -6.00000000       2.00000000       2.99229860    
  -6.00000000      -5.00000000       2.00000000       2.99229860    
  -7.00000000      -4.00000000       2.00000000       2.64133143    
  -7.00000000      -3.00000000       2.00000000       2.88452101    
  -7.00000000       3.00000000       2.00000000       2.88452101    
  -7.00000000       4.00000000       2.00000000       2.64133143    
  -6.00000000       5.00000000       2.00000000       2.99229860    
  -6.00000000       6.00000000       2.00000000       2.51036549    
  -5.00000000       6.00000000       2.00000000       2.99229860    
  -4.00000000       7.00000000       2.00000000       2.64133167    
  -3.00000000       7.00000000       2.00000000       2.88452101    
  -3.00000000      -7.00000000       3.00000000       2.72075915    
  -2.00000000      -7.00000000       3.00000000       2.88452101    
  -1.00000000      -7.00000000       3.00000000       2.98257422    
  -5.00000000      -6.00000000       3.00000000       2.82252264    
  -6.00000000      -5.00000000       3.00000000       2.82252264    
  -7.00000000      -3.00000000       3.00000000       2.72075915    
  -7.00000000      -2.00000000       3.00000000       2.88452101    
  -7.00000000      -1.00000000       3.00000000       2.98257422    
  -7.00000000       1.00000000       3.00000000       2.98257422    
  -7.00000000       2.00000000       3.00000000       2.88452101    
  -7.00000000       3.00000000       3.00000000       2.72075915    
  -6.00000000       5.00000000       3.00000000       2.82252240    
  -5.00000000       6.00000000       3.00000000       2.82252240    
  -3.00000000       7.00000000       3.00000000       2.72075915    
  -2.00000000       7.00000000       3.00000000       2.88452101    
  -1.00000000       7.00000000       3.00000000       2.98257422    
  -2.00000000      -7.00000000       4.00000000       2.64133143    
  -1.00000000      -7.00000000       4.00000000       2.73105669    
   0.00000000      -7.00000000       4.00000000       2.76091313    

  -5.00000000      -6.00000000       4.00000000       2.58476782    
  -4.00000000      -6.00000000       4.00000000       2.92976499    
  -6.00000000      -5.00000000       4.00000000       2.58476782    
  -6.00000000      -4.00000000       4.00000000       2.92976499    
  -7.00000000      -2.00000000       4.00000000       2.64133143    
  -7.00000000      -1.00000000       4.00000000       2.73105669    
  -7.00000000       0.00000000       4.00000000       2.76091313    
  -7.00000000       1.00000000       4.00000000       2.73105669    
  -7.00000000       2.00000000       4.00000000       2.64133143    
  -6.00000000       4.00000000       4.00000000       2.92976499    
  -6.00000000       5.00000000       4.00000000       2.58476782    
  -5.00000000       6.00000000       4.00000000       2.58476782    
  -4.00000000       6.00000000       4.00000000       2.92976499    
  -2.00000000       7.00000000       4.00000000       2.64133167    
  -1.00000000       7.00000000       4.00000000       2.73105669    
   0.00000000       7.00000000       4.00000000       2.76091313    

  -4.00000000      -6.00000000       5.00000000       2.58476782    
  -3.00000000      -6.00000000       5.00000000       2.82252240    
  -2.00000000      -6.00000000       5.00000000       2.99229860    
  -5.00000000      -5.00000000       5.00000000       2.71809340    
  -6.00000000      -4.00000000       5.00000000       2.58476782    
  -6.00000000      -3.00000000       5.00000000       2.82252240    
  -6.00000000      -2.00000000       5.00000000       2.99229860    
  -6.00000000       2.00000000       5.00000000       2.99229860    
  -6.00000000       3.00000000       5.00000000       2.82252240    
  -6.00000000       4.00000000       5.00000000       2.58476782    
  -5.00000000       5.00000000       5.00000000       2.71809340    
  -4.00000000       6.00000000       5.00000000       2.58476782    
  -3.00000000       6.00000000       5.00000000       2.82252240    
  -2.00000000       6.00000000       5.00000000       2.99229860    
  -2.00000000      -6.00000000       6.00000000       2.51036549    
  -1.00000000      -6.00000000       6.00000000       2.59557319    
   0.00000000      -6.00000000       6.00000000       2.62392449    

  -4.00000000      -5.00000000       6.00000000       2.58476782    
  -3.00000000      -5.00000000       6.00000000       2.82252264    
  -2.00000000      -5.00000000       6.00000000       2.99229860    
  -5.00000000      -4.00000000       6.00000000       2.58476782    
  -4.00000000      -4.00000000       6.00000000       2.92976522    
  -5.00000000      -3.00000000       6.00000000       2.82252264    
  -6.00000000      -2.00000000       6.00000000       2.51036549    
  -5.00000000      -2.00000000       6.00000000       2.99229860    
  -6.00000000      -1.00000000       6.00000000       2.59557319    
  -6.00000000       0.00000000       6.00000000       2.62392449    
  -6.00000000       1.00000000       6.00000000       2.59557319    
  -6.00000000       2.00000000       6.00000000       2.51036549    
  -5.00000000       2.00000000       6.00000000       2.99229860    
  -5.00000000       3.00000000       6.00000000       2.82252240    
  -5.00000000       4.00000000       6.00000000       2.58476782    
  -4.00000000       4.00000000       6.00000000       2.92976499    
  -4.00000000       5.00000000       6.00000000       2.58476782    
  -3.00000000       5.00000000       6.00000000       2.82252240    
  -2.00000000       5.00000000       6.00000000       2.99229860    
  -2.00000000       6.00000000       6.00000000       2.51036549    
  -1.00000000       6.00000000       6.00000000       2.59557319    
   0.00000000       6.00000000       6.00000000       2.62392449    

  -2.00000000      -4.00000000       7.00000000       2.64133167    
  -1.00000000      -4.00000000       7.00000000       2.73105669    
   0.00000000      -4.00000000       7.00000000       2.76091313    

  -3.00000000      -3.00000000       7.00000000       2.72075915    
  -2.00000000      -3.00000000       7.00000000       2.88452125    
  -1.00000000      -3.00000000       7.00000000       2.98257422    
  -4.00000000      -2.00000000       7.00000000       2.64133167    
  -3.00000000      -2.00000000       7.00000000       2.88452125    
  -4.00000000      -1.00000000       7.00000000       2.73105669    
  -3.00000000      -1.00000000       7.00000000       2.98257422    
  -4.00000000       0.00000000       7.00000000       2.76091313    
  -4.00000000       1.00000000       7.00000000       2.73105669    
  -3.00000000       1.00000000       7.00000000       2.98257422    
  -4.00000000       2.00000000       7.00000000       2.64133167    
  -3.00000000       2.00000000       7.00000000       2.88452101    
  -3.00000000       3.00000000       7.00000000       2.72075915    
  -2.00000000       3.00000000       7.00000000       2.88452101    
  -1.00000000       3.00000000       7.00000000       2.98257422    
  -2.00000000       4.00000000       7.00000000       2.64133167    
  -1.00000000       4.00000000       7.00000000       2.73105669    
   0.00000000       4.00000000       7.00000000       2.76091313    

